"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5","5","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C8","2","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C9,C10,C15,C16,C19,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C34","18","0.1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11,C12","2","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C13","1","75p","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14","1","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C17","1","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C18,C20","2","47ux16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C32,C33","2","2.2u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C35","1","1u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D2,D3","2","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"F1,F2","2","Fuse_Small","","","","Fuse:Fuse_1206_3216Metric","~"
"FB1,FB2,FB3,FB4","4","FerriteBead_Small","","","","Inductor_SMD:L_1206_3216Metric","~"
"J1","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J2,J13","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3","1","CV1_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J4","1","CV2_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J5","1","CV3_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J6","1","CV4_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J7","1","CLOCK_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J8","1","GATE1_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J9","1","GATE2_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J10","1","GATE3_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J11","1","GATE4_OUT","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J12","1","Conn_ARM_JTAG_SWD_10","","","","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf"
"L1","1","10u","","","","Inductor_SMD:L_6.3x6.3_H3","~"
"Q1,Q2,Q3,Q4,Q5","5","2N7002","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"R1","1","49R9","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R25,R27,R30,R33,R36","6","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","13.3k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R9,R10,R11,R12,R17,R18,R19,R20,R24,R28,R31,R34,R37,R38,R39,R40","17","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R13,R14,R21,R22","5","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8,R15,R16,R23,R26,R29,R32,R35","9","100R","","","","Resistor_SMD:R_0805_2012Metric","~"
"TP1","1","TEST_-12V","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP2","1","TEST_+12V","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP3","1","TEST_5V","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP4","1","TEST_3V3","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP5","1","TEST_GND","","","","TestPoint:TestPoint_Pad_2.5x2.5mm","~"
"TP6","1","TEST_NRST","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP7","1","TEST_DAC1_RAW","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP8","1","TEST_DAC2_RAW","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP9","1","TEST_DAC3_RAW","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP10","1","TEST_DAC4_RAW","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP11","1","TEST_DAC1_OUT","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP12","1","TEST_DAC2_OUT","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"TP13,TP14","2","TEST_DAC3_OUT","","","","TestPoint:TestPoint_Pad_1.5x1.5mm","~"
"U1","1","STM32F405RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf"
"U2","1","TPS54302","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54302.pdf"
"U3,U9","2","OPA2277","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/opa2277.pdf"
"U4","1","LD1117V33","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.st.com/resource/en/datasheet/ld1117.pdf"
"U5","1","6N137","","","","Package_DIP:DIP-8_W7.62mm","https://docs.broadcom.com/docs/AV02-0940EN"
"U6,U8","2","MCP4822","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf"
"U7,U10","2","OPA1612AxD","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/opa1612.pdf"
